epoch,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
1,,339,0.10004592686891556,,,,,,,,
,5.676567656765677e-09,344,,,,,,,,,
1,,344,0.06087331473827362,,,,,,,,
,5.759075907590759e-09,349,,,,,,,,,
1,,349,0.0479256771504879,,,,,,,,
,5.8415841584158415e-09,354,,,,,,,,,
1,,354,0.07999851554632187,,,,,,,,
,5.924092409240924e-09,359,,,,,,,,,
1,,359,0.056601572781801224,,,,,,,,
,6.006600660066007e-09,364,,,,,,,,,
1,,364,0.04989247769117355,,,,,,,,
,6.089108910891089e-09,369,,,,,,,,,
1,,369,0.09933912754058838,,,,,,,,
,6.1716171617161715e-09,374,,,,,,,,,
1,,374,0.11760886013507843,,,,,,,,
,6.254125412541254e-09,379,,,,,,,,,
1,,379,0.10715629160404205,,,,,,,,
,6.336633663366337e-09,384,,,,,,,,,
1,,384,0.0835161879658699,,,,,,,,
,6.419141914191419e-09,389,,,,,,,,,
1,,389,0.07229480892419815,,,,,,,,
,6.5016501650165014e-09,394,,,,,,,,,
1,,394,0.11111106723546982,,,,,,,,
,6.584158415841584e-09,399,,,,,,,,,
1,,399,0.03759589046239853,,,,,,,,
,6.666666666666667e-09,404,,,,,,,,,
1,,404,0.08461394160985947,,,,,,,,
,6.749174917491749e-09,409,,,,,,,,,
1,,409,0.087542325258255,,,,,,,,
,6.831683168316831e-09,414,,,,,,,,,
1,,414,0.08173710107803345,,,,,,,,
,6.914191419141914e-09,419,,,,,,,,,
1,,419,0.07837944477796555,,,,,,,,
,6.996699669966997e-09,424,,,,,,,,,
1,,424,0.06574048846960068,,,,,,,,
,7.079207920792079e-09,429,,,,,,,,,
1,,429,0.11270776391029358,,,,,,,,
,7.161716171617161e-09,434,,,,,,,,,
1,,434,0.08218345791101456,,,,,,,,
,7.244224422442244e-09,439,,,,,,,,,
1,,439,0.12112732976675034,,,,,,,,
,7.326732673267326e-09,444,,,,,,,,,
1,,444,0.10155711323022842,,,,,,,,
,7.409240924092409e-09,449,,,,,,,,,
1,,449,0.039378821849823,,,,,,,,
,7.491749174917491e-09,454,,,,,,,,,
1,,454,0.061137814074754715,,,,,,,,
,7.574257425742574e-09,459,,,,,,,,,
1,,459,0.07668046653270721,,,,,,,,
,7.656765676567656e-09,464,,,,,,,,,
1,,464,0.04499974101781845,,,,,,,,
,7.73927392739274e-09,469,,,,,,,,,
1,,469,0.10297323763370514,,,,,,,,
,7.821782178217822e-09,474,,,,,,,,,
1,,474,0.09958267211914062,,,,,,,,
,7.904290429042904e-09,479,,,,,,,,,
1,,479,0.08669812977313995,,,,,,,,
,7.986798679867987e-09,484,,,,,,,,,
1,,484,0.10244879126548767,,,,,,,,
,8.069306930693069e-09,489,,,,,,,,,
1,,489,0.07919865846633911,,,,,,,,
,8.151815181518151e-09,494,,,,,,,,,
1,,494,0.09983371943235397,,,,,,,,
,8.234323432343233e-09,499,,,,,,,,,
1,,499,0.07525376975536346,,,,,,,,
,8.316831683168317e-09,504,,,,,,,,,
1,,504,0.07030677050352097,,,,,,,,
,8.399339933993398e-09,509,,,,,,,,,
1,,509,0.08202286064624786,,,,,,,,
,8.481848184818482e-09,514,,,,,,,,,
1,,514,0.09730355441570282,,,,,,,,
,8.564356435643564e-09,519,,,,,,,,,
1,,519,0.06432054936885834,,,,,,,,
,8.646864686468647e-09,524,,,,,,,,,
1,,524,0.06416194885969162,,,,,,,,
,8.729372937293729e-09,529,,,,,,,,,
1,,529,0.10416366904973984,,,,,,,,
,8.811881188118811e-09,534,,,,,,,,,
1,,534,0.07314509153366089,,,,,,,,
,8.894389438943893e-09,539,,,,,,,,,
1,,539,0.056585635989904404,,,,,,,,
,8.976897689768977e-09,544,,,,,,,,,
1,,544,0.0795755535364151,,,,,,,,
,9.059405940594058e-09,549,,,,,,,,,
1,,549,0.07617106288671494,,,,,,,,
,9.141914191419142e-09,554,,,,,,,,,
1,,554,0.0703875720500946,,,,,,,,
,9.224422442244224e-09,559,,,,,,,,,
1,,559,0.10200103372335434,,,,,,,,
,9.306930693069306e-09,564,,,,,,,,,
1,,564,0.12477080523967743,,,,,,,,
,9.389438943894389e-09,569,,,,,,,,,
1,,569,0.06583429127931595,,,,,,,,
,9.471947194719471e-09,574,,,,,,,,,
1,,574,0.1038355752825737,,,,,,,,
,9.554455445544553e-09,579,,,,,,,,,
1,,579,0.048009827733039856,,,,,,,,
,9.636963696369637e-09,584,,,,,,,,,
1,,584,0.10811728984117508,,,,,,,,
,9.719471947194718e-09,589,,,,,,,,,
1,,589,0.07663708925247192,,,,,,,,
,9.801980198019802e-09,594,,,,,,,,,
1,,594,0.15183719992637634,,,,,,,,
,9.884488448844884e-09,599,,,,,,,,,
1,,599,0.06422173231840134,,,,,,,,
,9.966996699669966e-09,604,,,,,,,,,
1,,604,0.04930400848388672,,,,,,,,
1,,605,,0.5,0.39393940567970276,0.08423610776662827,0.08423610776662827,-0.0477176234126091,0.6190476417541504,0.2888889014720917,-0.022020917385816574
,1.0049504950495049e-08,609,,,,,,,,,
2,,609,0.04553065821528435,,,,,,,,
,1.0132013201320131e-08,614,,,,,,,,,
2,,614,0.04956000670790672,,,,,,,,
,1.0214521452145213e-08,619,,,,,,,,,
2,,619,0.06951915472745895,,,,,,,,
,1.0297029702970297e-08,624,,,,,,,,,
2,,624,0.06931161135435104,,,,,,,,
,1.0379537953795378e-08,629,,,,,,,,,
2,,629,0.07817123085260391,,,,,,,,
,1.0462046204620462e-08,634,,,,,,,,,
2,,634,0.1397048681974411,,,,,,,,
,1.0544554455445546e-08,639,,,,,,,,,
2,,639,0.11040233820676804,,,,,,,,
,1.0627062706270626e-08,644,,,,,,,,,
2,,644,0.06306898593902588,,,,,,,,
,1.070957095709571e-08,649,,,,,,,,,
2,,649,0.04290546476840973,,,,,,,,
,1.079207920792079e-08,654,,,,,,,,,
2,,654,0.07461339235305786,,,,,,,,
,1.0874587458745875e-08,659,,,,,,,,,
2,,659,0.04337967187166214,,,,,,,,
,1.0957095709570957e-08,664,,,,,,,,,
2,,664,0.09661344438791275,,,,,,,,
,1.103960396039604e-08,669,,,,,,,,,
2,,669,0.14241136610507965,,,,,,,,
,1.1122112211221122e-08,674,,,,,,,,,
2,,674,0.08301375061273575,,,,,,,,
,1.1204620462046205e-08,679,,,,,,,,,
2,,679,0.08310706913471222,,,,,,,,
,1.1287128712871286e-08,684,,,,,,,,,
2,,684,0.06499197334051132,,,,,,,,
,1.136963696369637e-08,689,,,,,,,,,
2,,689,0.12863750755786896,,,,,,,,
,1.145214521452145e-08,694,,,,,,,,,
2,,694,0.12488272786140442,,,,,,,,
,1.1534653465346535e-08,699,,,,,,,,,
2,,699,0.0596700944006443,,,,,,,,
,1.1617161716171617e-08,704,,,,,,,,,
2,,704,0.10082610696554184,,,,,,,,
,1.1699669966996699e-08,709,,,,,,,,,
2,,709,0.04219885542988777,,,,,,,,
,1.1782178217821781e-08,714,,,,,,,,,
2,,714,0.06615734100341797,,,,,,,,
,1.1864686468646865e-08,719,,,,,,,,,
2,,719,0.10623960942029953,,,,,,,,
,1.1947194719471946e-08,724,,,,,,,,,
2,,724,0.06914081424474716,,,,,,,,
,1.202970297029703e-08,729,,,,,,,,,
2,,729,0.10615826398134232,,,,,,,,
,1.211221122112211e-08,734,,,,,,,,,
2,,734,0.12990136444568634,,,,,,,,
,1.2194719471947194e-08,739,,,,,,,,,
2,,739,0.08188863098621368,,,,,,,,
,1.2277227722772277e-08,744,,,,,,,,,
2,,744,0.06037942320108414,,,,,,,,
,1.2359735973597359e-08,749,,,,,,,,,
2,,749,0.10095668584108353,,,,,,,,
,1.2442244224422441e-08,754,,,,,,,,,
2,,754,0.10239899903535843,,,,,,,,
,1.2524752475247525e-08,759,,,,,,,,,
2,,759,0.12864862382411957,,,,,,,,
,1.2607260726072606e-08,764,,,,,,,,,
2,,764,0.09991499781608582,,,,,,,,
,1.268976897689769e-08,769,,,,,,,,,
2,,769,0.10634744167327881,,,,,,,,
,1.277227722772277e-08,774,,,,,,,,,
2,,774,0.09280646592378616,,,,,,,,
,1.2854785478547854e-08,779,,,,,,,,,
2,,779,0.039047759026288986,,,,,,,,
,1.2937293729372937e-08,784,,,,,,,,,
2,,784,0.08003194630146027,,,,,,,,
,1.3019801980198019e-08,789,,,,,,,,,
2,,789,0.09766614437103271,,,,,,,,
,1.3102310231023101e-08,794,,,,,,,,,
2,,794,0.06831193715333939,,,,,,,,
,1.3184818481848185e-08,799,,,,,,,,,
2,,799,0.10931667685508728,,,,,,,,
,1.3267326732673266e-08,804,,,,,,,,,
2,,804,0.0750722885131836,,,,,,,,
,1.334983498349835e-08,809,,,,,,,,,
2,,809,0.06532735377550125,,,,,,,,
,1.343234323432343e-08,814,,,,,,,,,
2,,814,0.14257490634918213,,,,,,,,
,1.3514851485148514e-08,819,,,,,,,,,
2,,819,0.16457565128803253,,,,,,,,
,1.3597359735973597e-08,824,,,,,,,,,
2,,824,0.06171484291553497,,,,,,,,
,1.3679867986798679e-08,829,,,,,,,,,
2,,829,0.1425076723098755,,,,,,,,
,1.3762376237623761e-08,834,,,,,,,,,
2,,834,0.07746289670467377,,,,,,,,
,1.3844884488448845e-08,839,,,,,,,,,
2,,839,0.06255491822957993,,,,,,,,
,1.3927392739273926e-08,844,,,,,,,,,
